,Window,Status,GRE,GPA,Work Experience,TOEFL,IELTS
117,F2021,Admit,313.0,90.535,7.0,100.0,
118,F2021,Admit,328.0,80.75,20.0,,8.0
119,F2020,Admit,,,,,
120,F2021,Admit,323.0,89.3,29.0,108.0,
121,F2021,Admit,327.0,78.85000000000001,3.0,0.0,
122,F2021,Admit,319.0,94.05,3.0,110.0,
123,F2021,Admit,316.0,81.13,21.0,109.0,
124,F2021,Admit,316.0,85.02499999999999,32.0,109.0,
125,F2021,Admit,316.0,81.035,,107.0,
126,F2021,Admit,321.0,91.77,6.0,107.0,
127,F2021,Admit,317.0,,,,
128,F2021,Admit,319.0,83.60000000000001,30.0,,7.5
129,F2021,Admit,316.0,77.89999999999999,,103.0,
130,F2021,Admit,323.0,83.60000000000001,25.0,113.0,
131,F2021,Admit,320.0,79.895,34.0,,7.5
132,F2021,Admit,310.0,89.965,,,8.0
133,F2021,Admit,310.0,88.35000000000001,1.0,106.0,
134,F2021,Admit,310.0,87.495,3.0,108.0,
135,F2021,Admit,319.0,83.60000000000001,26.0,100.0,
136,F2021,Admit,326.0,77.89999999999999,6.0,,7.5
137,F2021,Admit,335.0,92.245,8.0,119.0,
138,F2021,Admit,319.0,86.63999999999999,11.0,108.0,
139,F2021,Admit,315.0,81.9375,6.0,,8.0
140,F2021,Admit,328.0,82.935,,116.0,
141,F2021,Admit,316.0,89.5,35.0,110.0,
142,F2021,Admit,320.0,85.785,19.0,111.0,
143,F2021,Admit,326.0,81.13,18.0,110.0,
144,F2021,Admit,316.0,85.88,37.0,112.0,
145,F2021,Admit,317.0,79.70500000000001,7.0,,8.5
146,F2021,Admit,325.0,76.47500000000001,39.0,105.0,
147,F2021,Admit,326.0,89.395,20.0,109.0,
148,F2021,Admit,316.0,80.17999999999999,12.0,107.0,
149,F2021,Admit,319.0,79.61000000000001,26.0,,7.5
150,F2021,Admit,315.0,79.8,36.0,102.0,
151,F2021,Admit,322.0,76.19,5.0,106.0,
152,F2021,Admit,323.0,82.64999999999999,34.0,109.0,
153,F2021,Admit,315.0,78.85000000000001,21.0,110.0,
154,F2021,Admit,313.0,79.325,17.0,,8.0
155,F2021,Admit,318.0,82.64999999999999,17.0,,7.5
156,F2021,Admit,328.0,82.84,6.0,117.0,
157,F2021,Admit,326.0,85.69,2.0,103.0,
158,F2021,Admit,326.0,85.5,27.0,102.0,
159,F2021,Admit,311.0,77.615,63.0,,8.0
160,F2021,Admit,312.0,87.115,6.0,,8.0
161,F2021,Admit,309.0,86.26,,,7.5
162,F2021,Admit,325.0,82.175,34.0,118.0,
163,F2021,Admit,326.0,74.765,18.0,108.0,
164,F2021,Admit,321.0,82.745,18.0,111.0,
165,F2020,Admit,316.0,81.32000000000001,17.0,,7.5
166,F2021,Admit,,81.7,3.0,,7.0
167,S2020,Admit,313.0,82.64999999999999,8.0,107.0,
168,S2021,Admit,317.0,66.72,22.0,,8.0
169,S2017,Admit,318.0,86.5,,,7.5
170,F2021,Admit,311.0,81.7,41.0,103.0,
171,S2021,Admit,312.0,76.95,42.0,100.0,
172,S2021,Admit,316.0,80.75,1.0,100.0,
173,F2021,Admit,317.0,71.82,13.0,112.0,
174,S2021,Admit,307.0,77.80499999999999,27.0,,7.5
175,F2020,Admit,,,,,
176,F2021,Admit,315.0,80.22,4.0,109.0,
177,F2021,Admit,312.0,74.195,12.0,104.0,
178,S2021,Admit,307.0,83.60000000000001,20.0,107.0,
179,S2021,Admit,304.0,84.26499999999999,15.0,,7.0
180,S2021,Admit,316.0,79.86,60.0,,7.5
181,S2021,Admit,317.0,80.37,,100.0,
182,S2021,Admit,320.0,78.755,37.0,103.0,
183,S2021,Admit,323.0,74.575,9.0,110.0,
184,F2021,Admit,319.0,75.24,21.0,108.0,
185,F2020,Admit,321.0,77.89999999999999,13.0,105.0,
186,S2021,Admit,315.0,78.47,33.0,106.0,
187,F2020,Admit,321.0,85.0,12.0,,9.0
188,S2021,Admit,319.0,80.27499999999999,18.0,,7.0
189,S2021,Admit,311.0,79.99,9.0,,7.5
190,F2020,Admit,322.0,79.895,,112.0,
