,Window,Status,GRE,GPA,Work Experience,TOEFL,IELTS
122,F2021,Admit,326.0,87.115,4.0,115.0,
123,F2021,Admit,315.0,81.98500000000001,55.0,100.0,
124,F2021,Admit,299.0,82.08000000000001,1.0,94.0,
125,F2021,Admit,312.0,84.835,18.0,,7.5
126,F2021,Admit,313.0,77.89999999999999,19.0,,6.5
127,F2021,Admit,315.0,85.5,6.0,94.0,
128,F2021,Admit,312.0,93.19500000000001,9.0,103.0,
129,F2021,Admit,299.0,83.505,33.0,,7.5
130,F2021,Admit,310.0,90.345,4.0,,6.5
131,F2021,Admit,312.0,87.02,13.0,104.0,
132,F2021,Admit,305.0,84.92999999999999,22.0,86.0,
133,F2021,Admit,301.0,86.45,18.0,,6.5
134,F2021,Admit,320.0,74.575,20.0,104.0,
135,F2021,Admit,,78.7,31.0,89.0,
136,F2021,Admit,311.0,85.97500000000001,,105.0,
137,F2021,Admit,321.0,82.64999999999999,32.0,,7.5
138,F2021,Admit,308.0,81.7,,95.0,
139,F2021,Admit,,,,,
140,F2021,Admit,312.0,84.55,31.0,109.0,
141,F2021,Admit,320.0,87.39999999999999,3.0,109.0,
142,F2021,Admit,306.0,84.835,22.0,,7.0
143,F2021,Admit,312.0,76.47500000000001,,100.0,
144,F2021,Admit,321.0,,,,
145,F2021,Admit,,,,,
146,F2021,Admit,,74.48,25.0,114.0,
147,F2021,Admit,318.0,84.835,14.0,108.0,
148,F2021,Admit,313.0,79.41999999999999,,,6.5
149,F2021,Admit,330.0,87.875,3.0,106.0,
150,F2021,Admit,323.0,86.165,,,6.5
151,F2021,Admit,323.0,85.97500000000001,24.0,109.0,
152,F2021,Admit,314.0,93.10000000000001,21.0,105.0,
153,F2021,Admit,,91.29499999999999,12.0,,7.5
154,F2020,Admit,309.0,81.51,5.0,96.0,
155,F2021,Admit,325.0,80.75,2.0,,8.5
156,F2021,Admit,312.0,77.71,24.0,102.0,
157,F2021,Admit,313.0,,,,
158,F2021,Admit,317.0,82.64999999999999,,,7.0
159,F2021,Admit,320.0,79.51499999999999,55.0,106.0,
160,F2021,Admit,316.0,83.03,16.0,,6.5
161,F2021,Admit,311.0,85.97500000000001,,,7.0
162,F2021,Admit,307.0,77.04499999999999,6.0,105.0,
163,F2021,Admit,307.0,84.92999999999999,19.0,,7.0
164,F2021,Admit,316.0,80.17999999999999,12.0,107.0,
165,F2021,Admit,299.0,77.3,38.0,113.0,
166,F2021,Admit,312.0,85.97500000000001,16.0,101.0,
167,F2021,Admit,296.0,90.06,21.0,,7.0
168,F2021,Admit,317.0,86.63999999999999,32.0,,8.0
169,F2021,Admit,,,,,
170,F2021,Admit,305.0,79.8,38.0,,7.5
171,F2021,Admit,310.0,89.20500000000001,1.0,102.0,
172,S2020,Admit,315.0,79.8,25.0,,7.0
173,S2021,Admit,,,,,
174,F2021,Admit,312.0,79.8,48.0,103.0,
175,F2021,Admit,322.0,84.92999999999999,14.0,,8.0
176,F2021,Admit,,,,,
177,F2021,Admit,317.0,89.585,10.0,,8.0
178,F2021,Admit,320.0,87.875,18.0,101.0,
179,F2021,Admit,304.0,85.97500000000001,6.0,92.0,
180,F2021,Admit,317.0,79.8,18.0,101.0,
181,F2021,Admit,297.0,84.74,2.0,106.0,
182,F2021,Admit,,81.7,31.0,111.0,
183,S2021,Admit,321.0,82.64999999999999,33.0,104.0,
184,F2021,Admit,322.0,82.55499999999999,,111.0,
185,F2021,Admit,,,,,
186,F2021,Admit,306.0,80.465,,107.0,
187,F2021,Admit,314.0,81.98500000000001,,100.0,
188,F2021,Admit,323.0,76.665,59.0,115.0,
189,F2021,Admit,321.0,85.5,22.0,107.0,
190,F2021,Admit,320.0,83.885,,,6.5
191,F2021,Admit,317.0,85.215,2.0,,7.5
192,F2021,Admit,318.0,82.64999999999999,24.0,,6.5
193,F2021,Admit,326.0,78.85000000000001,,83.0,
194,F2021,Admit,,85.69,31.0,,7.5
195,F2021,Admit,303.0,79.61000000000001,,88.0,
196,F2021,Admit,311.0,76.95,4.0,,7.5
197,F2021,Admit,328.0,89.3,1.0,,8.0
198,F2021,Admit,327.0,,,,
199,F2021,Admit,304.0,86.63999999999999,33.0,104.0,
200,F2021,Admit,323.0,,,,
0,S2022,Reject,308.0,66.215,27.0,100.0,
1,F2021,Reject,314.0,83.60000000000001,6.0,,7.0
2,F2021,Reject,294.0,67.45,7.0,80.0,
3,F2021,Reject,298.0,,,,
4,[],,,,,,
5,F2021,Reject,303.0,79.8,28.0,,7.5
6,F2021,Reject,313.0,78.0,57.0,,7.0
7,F2021,Reject,303.0,76.0,3.0,97.0,
8,F2021,Reject,303.0,77.89999999999999,5.0,,7.0
9,F2021,Reject,327.0,62.13,,97.0,
10,F2021,Reject,322.0,70.0,54.0,,7.0
11,F2021,Reject,310.0,66.5,,,7.0
12,F2021,Reject,325.0,,,,
13,F2021,Reject,294.0,78.66,60.0,,6.5
14,F2021,Reject,294.0,80.17999999999999,20.0,93.0,
15,F2021,Reject,308.0,77.23500000000001,,,7.0
16,F2021,Reject,313.0,76.285,,,6.5
17,F2021,Reject,,74.195,72.0,,7.0
18,F2021,Reject,300.0,68.4,18.0,90.0,
19,F2021,Reject,326.0,67.45,36.0,105.0,
20,F2021,Reject,317.0,76.0,30.0,108.0,
21,F2021,Reject,314.0,76.19,60.0,90.0,
22,F2021,Reject,321.0,80.75,6.0,,7.0
23,F2021,Reject,315.0,73.15,9.0,,6.5
24,F2021,Reject,315.0,68.305,22.0,,6.0
25,F2021,Reject,320.0,65.55,6.0,,7.0
26,F2021,Reject,314.0,79.23,29.0,,8.5
27,F2021,Reject,323.0,72.2,4.0,,6.0
28,F2021,Reject,305.0,67.64,21.0,93.0,
29,F2021,Reject,313.0,,,,
30,F2021,Reject,292.0,76.0,,88.0,
31,F2019,Reject,306.0,73.15,13.0,,7.5
32,F2021,Reject,315.0,81.415,35.0,,7.5
33,F2021,Reject,327.0,66.75,37.0,113.0,
34,F2021,Reject,319.0,70.3,56.0,102.0,
35,F2021,Reject,,,,,
36,F2021,Reject,283.0,66.5,75.0,,6.0
37,F2021,Reject,323.0,75.335,5.0,108.0,
38,F2021,Reject,,72.2,10.0,,6.5
39,F2021,Reject,326.0,73.15,1.0,89.0,
40,S2021,Reject,,73.15,8.0,,7.5
41,F2021,Reject,316.0,76.285,8.0,,6.5
42,F2021,Reject,318.0,75.145,28.0,,6.5
43,F2021,Reject,308.0,70.49,,102.0,
44,F2021,Reject,,69.6,70.0,,6.5
45,F2021,Reject,314.0,64.98,,,6.0
46,F2021,Reject,313.0,77.89999999999999,,,7.5
47,F2021,Reject,309.0,68.9,40.0,101.0,
48,F2021,Reject,307.0,82.64999999999999,6.0,98.0,
49,F2021,Reject,304.0,78.565,8.0,,8.0
50,F2021,Reject,318.0,74.385,21.0,,6.5
51,F2021,Reject,317.0,61.4,31.0,99.0,
52,F2021,Reject,327.0,68.02,32.0,112.0,
53,F2021,Reject,322.0,68.59,1.0,,6.5
54,F2021,Reject,302.0,75.43,34.0,89.0,
55,F2021,Reject,323.0,69.35,9.0,,8.0
56,F2021,Reject,,73.0,29.0,98.0,
57,F2020,Reject,309.0,72.0,41.0,,7.5
58,F2021,Reject,309.0,74.575,1.0,,6.5
59,F2022,Reject,309.0,80.2,33.0,,7.5
60,F2021,Reject,304.0,82.84,83.0,103.0,
61,F2021,Reject,297.0,66.92,40.0,,8.0
62,F2021,Reject,314.0,69.825,,,7.5
63,F2021,Reject,320.0,74.1,,,7.0
64,F2021,Reject,319.0,65.55,20.0,102.0,
65,S2013,Reject,324.0,77.23500000000001,6.0,,7.0
66,F2021,Reject,315.0,73.15,,,7.0
67,F2021,Reject,305.0,68.875,53.0,,7.0
68,F2021,Reject,312.0,72.105,19.0,,8.0
69,F2021,Reject,300.0,61.07,60.0,106.0,
70,F2021,Reject,321.0,66.595,,103.0,
71,F2021,Reject,310.0,72.675,1.0,,7.0
72,F2021,Reject,,66.84,80.0,82.0,
73,F2021,Reject,306.0,57.0,46.0,85.0,
74,F2021,Reject,316.0,75.43,25.0,103.0,
75,F2021,Reject,315.0,73.815,34.0,,8.0
76,F2021,Reject,315.0,71.915,37.0,,7.5
77,F2021,Reject,317.0,75.24,33.0,104.0,
78,F2021,Reject,304.0,76.4,57.0,,7.5
79,F2021,Reject,302.0,65.0,23.0,,6.5
80,F2021,Reject,313.0,75.905,12.0,108.0,
81,F2021,Reject,307.0,75.81,18.0,,6.5
82,F2021,Reject,317.0,67.5,30.0,,8.0
83,F2021,Reject,310.0,76.0,4.0,117.0,
84,F2021,Reject,,,,,
85,F2021,Reject,306.0,70.3,8.0,,6.5
86,F2021,Reject,309.0,73.25,31.0,111.0,
87,F2021,Reject,315.0,64.88,20.0,,6.5
88,F2021,Reject,317.0,76.19,,,8.0
89,F2021,Reject,327.0,71.63,24.0,,6.5
90,F2021,Reject,297.0,75.81,20.0,,6.5
91,F2021,Reject,305.0,69.35,9.0,95.0,
92,F2021,Reject,304.0,71.25,7.0,,8.0
93,F2021,Reject,297.0,,,,
94,F2021,Reject,320.0,61.084999999999994,2.0,112.0,
95,F2021,Reject,336.0,67.83,30.0,109.0,
96,F2021,Reject,312.0,72.2,,106.0,
97,F2021,Reject,,81.4,23.0,90.0,
98,F2021,Reject,307.0,60.135,18.0,112.0,
99,F2021,Reject,313.0,73.53,8.0,,6.5
100,F2020,Reject,309.0,68.21,1.0,108.0,
101,F2021,Reject,314.0,59.47,18.0,92.0,
102,F2021,Reject,309.0,72.2,6.0,98.0,
103,F2021,Reject,315.0,71.14,1.0,,7.0
104,F2021,Reject,321.0,79.8,18.0,,7.0
105,F2021,Reject,313.0,67.165,40.0,101.0,
106,F2021,Reject,327.0,69.16,20.0,112.0,
107,F2021,Reject,316.0,73.91,,,7.0
108,F2021,Reject,311.0,66.5,20.0,7.0,
109,F2021,Reject,301.0,70.3,,96.0,
110,F2021,Reject,311.0,79.70500000000001,39.0,96.0,
111,F2021,Reject,298.0,70.49,45.0,97.0,
112,F2021,Reject,321.0,69.825,8.0,,7.0
113,F2021,Reject,298.0,70.775,27.0,81.0,
114,F2021,Reject,313.0,72.485,2.0,,8.0
115,F2021,Reject,314.0,72.675,14.0,104.0,
