,Window,Status,GRE,GPA,Work Experience,TOEFL,IELTS
119,F2021,Admit,324.0,75.24,9.0,,7.0
120,F2021,Admit,320.0,76.0,36.0,,7.5
121,F2021,Admit,323.0,78.375,44.0,102.0,
122,F2021,Admit,316.0,78.94500000000001,,,7.5
123,F2021,Admit,318.0,77.89999999999999,,0.0,
124,F2021,Admit,314.0,89.3,,,8.0
125,F2021,Admit,321.0,54.05500000000001,31.0,,8.0
126,F2021,Admit,321.0,66.785,,101.0,
127,F2021,Admit,319.0,78.28,2.0,,7.5
128,F2021,Admit,311.0,66.5,20.0,7.0,
129,F2021,Admit,316.0,77.89999999999999,,103.0,
130,F2020,Admit,316.0,73.15,2.0,108.0,
131,F2021,Admit,318.0,71.535,32.0,100.0,
132,F2021,Admit,312.0,81.7,1.0,,7.5
133,F2020,Admit,315.0,61.5,20.0,111.0,
134,F2021,Admit,306.0,82.08000000000001,29.0,90.0,
135,F2021,Admit,,74.575,36.0,,7.5
136,F2021,Admit,,,,,
137,F2021,Admit,307.0,77.71,17.0,,7.5
138,F2021,Admit,304.0,81.7,,104.0,
139,F2021,Admit,304.0,80.75,3.0,102.0,
140,F2021,Admit,308.0,75.0,28.0,,7.5
141,F2021,Admit,260.0,38.0,,0.0,
142,F2021,Admit,312.0,87.97,41.0,106.0,
143,F2021,Admit,304.0,82.64999999999999,17.0,100.0,
144,F2021,Admit,307.0,78.375,32.0,101.0,
145,F2021,Admit,,82.46,18.0,104.0,
146,F2021,Admit,325.0,82.84,2.0,113.0,
147,F2021,Admit,304.0,76.4,57.0,,7.5
148,F2020,Admit,301.0,81.7,,89.0,
149,F2021,Admit,317.0,85.69,14.0,,7.0
150,F2018,Admit,312.0,,,,
151,F2021,Admit,311.0,81.0,54.0,98.0,
152,F2020,Admit,306.0,71.25,,,7.0
153,F2020,Admit,321.0,10.0,30.0,109.0,
154,F2021,Admit,310.0,74.0,40.0,,7.0
155,F2021,Admit,321.0,77.33000000000001,6.0,,8.0
156,F2021,Admit,309.0,89.20500000000001,,96.0,
157,F2020,Admit,,80.94,31.0,97.0,
158,F2020,Admit,326.0,76.0,21.0,109.0,
159,S2021,Admit,320.0,78.755,37.0,103.0,
160,F2020,Admit,313.0,71.25,,,7.5
161,S2021,Admit,323.0,66.0,41.0,105.0,
162,S2021,Admit,314.0,62.699999999999996,1.0,96.0,
163,S2021,Admit,320.0,73.53,34.0,,7.0
164,S2021,Admit,292.0,83.315,,,6.0
165,F2021,Admit,309.0,69.065,26.0,97.0,
166,F2019,Admit,314.0,,,,
167,F2021,Admit,318.0,71.25,1.0,105.0,
168,F2020,Admit,320.0,94.4,36.0,107.0,
169,F2020,Admit,323.0,62.699999999999996,6.0,110.0,
170,F2020,Admit,,,,,
171,F2020,Admit,308.0,78.94500000000001,24.0,,7.0
